ExpenseID,Date,Month,Year,Month-Year,CategoryID,CategoryName,CategoryType,ItemName,UnitPrice,Quantity,TotalAmount,NationalCPIValue
1,2023-07-01,July,2023,Jul-2023,4,Dining Out,Discretionary,Coffee Shop,32.68,5,163.4,304.43
2,2026-02-01,February,2026,Feb-2026,5,Electronics,Discretionary,Gaming Console,255.27,1,255.27,328.65
3,2024-03-24,March,2024,Mar-2024,2,Utilities,Essential,Electric Bill,108.6,1,108.6,311.08
4,2024-06-09,June,2024,Jun-2024,2,Utilities,Essential,Electric Bill,105.99,1,105.99,313.02
5,2024-02-23,February,2024,Feb-2024,5,Electronics,Discretionary,Headphones,229.4,1,229.4,310.32
6,2025-06-29,June,2025,Jun-2025,4,Dining Out,Discretionary,Pizza Night,39.45,2,78.9,322.93
7,2023-12-10,December,2023,Dec-2023,4,Dining Out,Discretionary,Cocktail Bar,35.18,2,70.36,308.44
8,2025-02-28,February,2025,Feb-2025,1,Groceries,Essential,Avocados,5.51,4,22.04,319.78
9,2025-04-16,April,2025,Apr-2025,4,Dining Out,Discretionary,Sushi Lunch,36.92,3,110.76,321
10,2024-04-17,April,2024,Apr-2024,2,Utilities,Essential,Water Bill,124.1,1,124.1,311.68
11,2024-04-25,April,2024,Apr-2024,1,Groceries,Essential,Eggs 12pk,5.03,4,20.12,311.88
12,2023-10-05,October,2023,Oct-2023,5,Electronics,Discretionary,Smartphone,225.54,1,225.54,306.8
13,2024-02-20,February,2024,Feb-2024,4,Dining Out,Discretionary,Cocktail Bar,30.89,5,154.45,310.25
14,2025-02-13,February,2025,Feb-2025,5,Electronics,Discretionary,Gaming Console,256.07,1,256.07,319.39
15,2025-07-06,July,2025,Jul-2025,5,Electronics,Discretionary,Gaming Console,230.79,1,230.79,323.11
16,2025-05-26,May,2025,May-2025,4,Dining Out,Discretionary,Coffee Shop,42.64,3,127.92,322.04
17,2023-04-02,April,2023,Apr-2023,5,Electronics,Discretionary,Gaming Console,268.41,1,268.41,302.22
18,2024-05-12,May,2024,May-2024,3,Rent,Essential,Monthly Rent Payment,1760.74,1,1760.74,312.31
19,2025-01-13,January,2025,Jan-2025,2,Utilities,Essential,Internet Fiber,123.41,1,123.41,318.59
20,2025-11-13,November,2025,Nov-2025,1,Groceries,Essential,Sourdough,6.75,2,13.5,326.53
21,2025-02-18,February,2025,Feb-2025,3,Rent,Essential,Monthly Rent Payment,1766.86,1,1766.86,319.52
22,2023-12-30,December,2023,Dec-2023,5,Electronics,Discretionary,Headphones,227.42,1,227.42,308.94
23,2023-07-22,July,2023,Jul-2023,2,Utilities,Essential,Electric Bill,112.13,1,112.13,304.94
24,2025-10-08,October,2025,Oct-2025,5,Electronics,Discretionary,Gaming Console,245.63,1,245.63,325.58
25,2025-04-22,April,2025,Apr-2025,4,Dining Out,Discretionary,Sushi Lunch,40.87,4,163.48,321.15
26,2024-06-01,June,2024,Jun-2024,1,Groceries,Essential,Avocados,5.04,1,5.04,312.82
27,2025-01-31,January,2025,Jan-2025,1,Groceries,Essential,Whole Milk,5.45,4,21.8,319.06
28,2026-02-20,February,2026,Feb-2026,5,Electronics,Discretionary,Headphones,243.6,1,243.6,329.15
29,2024-08-12,August,2024,Aug-2024,1,Groceries,Essential,Sourdough,5.72,5,28.6,314.65
